X,Y,FID,OBJECTID,Site_Name,Site_Score,Site_EPA_ID,SEMS_ID,SITS_ID,Region_ID,State,City,County,Status,Longitude,Latitude,Proposed_Date,Listing_Date,Construction_Completion_Date,Construction_Completion_Number,NOID_Date,Deletion_Date,Site_Listing_Narrative,Site_Progress_Profile,Notice_of_Data_Availability,Proposed_FR_Notice,Deletion_FR_Notice,Final_FR_Notice,NOID_FR_Notice,Restoration_FR_Notice_Jumper_Pa,Site_has_had_a_Partial_Deletion,CreationDate,Creator,EditDate,Editor
-85.930472,39.186075,383,,Garden City Ground Water Plume,50,INN000508642,508642,1876,5,Indiana,Garden City,Bartholomew,NPL Site,-85.930472,39.186075,05/24/2013,12/12/2013,,0,,,"<a href=""https://semspub.epa.gov/src/document/05/633112"" target=""_blank"">INN000508642 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0508642"" target=""_blank"">Garden City Ground Water Plume</a>",,"<a href=""http://www.gpo.gov/fdsys/pkg/FR-2013-05-24/pdf/2013-12326.pdf"" target=""_blank"">05/24/2013 (PDF)</a>",,"<a href=""http://www.gpo.gov/fdsys/pkg/FR-2013-12-12/pdf/2013-29350.pdf"" target=""_blank"">12/12/2013 (PDF)</a>",,,No,,,,
-86.121667,39.834722,384,,Keystone Corridor Ground Water Contamination,50,INN000510399,510399,1877,5,Indiana,Indianapolis,Marion,NPL Site,-86.121667,39.834722,05/24/2013,12/12/2013,,0,,,"<a href=""https://semspub.epa.gov/src/document/05/633113"" target=""_blank"">INN000510399 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0510399"" target=""_blank"">Keystone Corridor Ground Water Contamination</a>",,"<a href=""http://www.gpo.gov/fdsys/pkg/FR-2013-05-24/pdf/2013-12326.pdf"" target=""_blank"">05/24/2013 (PDF)</a>",,"<a href=""http://www.gpo.gov/fdsys/pkg/FR-2013-12-12/pdf/2013-29350.pdf"" target=""_blank"">12/12/2013 (PDF)</a>",,,No,,,,
-86.055,41.684722,385,,North Shore Drive,50,INSFN0507828,507828,1893,5,Indiana,Elkhart,Elkhart,NPL Site,-86.055,41.684722,05/12/2014,09/22/2014,,0,,,"<a href=""https://semspub.epa.gov/src/document/05/633114"" target=""_blank"">INSFN0507828 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0507828"" target=""_blank"">North Shore Drive</a>",,"<a href=""http://www.gpo.gov/fdsys/pkg/FR-2014-05-12/pdf/2014-10832.pdf"" target=""_blank"">05/12/2014 (PDF)</a>",,"<a href=""http://www.gpo.gov/fdsys/pkg/FR-2014-09-22/pdf/2014-22429.pdf"" target=""_blank"">09/22/2014 (PDF)</a>",,,No,,,,
-86.114128,40.479444,386,,Kokomo Contaminated Ground Water Plume,50,INN000510479,510479,1898,5,Indiana,Kokomo,Howard,NPL Site,-86.114128,40.479444,09/22/2014,03/26/2015,,0,,,"<a href=""https://semspub.epa.gov/src/document/05/633115"" target=""_blank"">INN000510479 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0510479"" target=""_blank"">Kokomo Contaminated Ground Water Plume</a>",,"<a href=""http://www.gpo.gov/fdsys/pkg/FR-2014-09-22/pdf/2014-22423.pdf"" target=""_blank"">09/22/2014 (PDF)</a>",,"<a href=""http://www.gpo.gov/fdsys/pkg/FR-2015-03-26/pdf/2015-06696.pdf"" target=""_blank"">03/26/2015 (PDF)</a>",,,No,,,,
-86.185825,39.781899,387,,Riverside Ground Water Contamination,50,INN000510936,510936,1915,5,Indiana,Indianapolis,Marion,Proposed NPL Site,-86.185825,39.781899,04/07/2016,,,0,,,"<a href=""https://semspub.epa.gov/src/document/05/633718"" target=""_blank"">INN000510936 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0510936"" target=""_blank"">Riverside Ground Water Contamination</a>",,"<a href=""http://www.gpo.gov/fdsys/pkg/FR-2016-04-07/pdf/2016-07671.pdf"" target=""_blank"">04/07/2016 (PDF)</a>",,,,,No,,,,
-85.6789,40.1184,388,,Broadway Street Corridor Groundwater Contamination,50,INN000510915,510915,1937,5,Indiana,Anderson,Madison,NPL Site,-85.6789,40.1184,01/18/2018,09/13/2018,,0,,,"<a href=""https://semspub.epa.gov/src/document/11/197353"" target=""_blank"">INN000510915 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0510915"" target=""_blank"">Broadway Street Corridor Groundwater Contamination</a>",,"<a href=""http://www.gpo.gov/fdsys/pkg/FR-2018-01-18/pdf/2018-00623.pdf"" target=""_blank"">01/18/2018 (PDF)</a>",,"<a href=""http://www.gpo.gov/fdsys/pkg/FR-2018-09-13/pdf/2018-19878.pdf"" target=""_blank"">09/13/2018 (PDF)</a>",,,No,,,,
-86.7645,39.2849,389,,Franklin Street Groundwater Contamination,50,INN000510959,510959,1938,5,Indiana,Spencer,Owen,NPL Site,-86.7645,39.2849,01/18/2018,05/17/2018,,0,,,"<a href=""https://semspub.epa.gov/src/document/11/197215"" target=""_blank"">INN000510959 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0510959"" target=""_blank"">Franklin Street Groundwater Contamination</a>",,"<a href=""http://www.gpo.gov/fdsys/pkg/FR-2018-01-18/pdf/2018-00623.pdf"" target=""_blank"">01/18/2018 (PDF)</a>",,"<a href=""http://www.gpo.gov/fdsys/pkg/FR-2018-05-17/pdf/2018-10464.pdf"" target=""_blank"">05/17/2018 (PDF)</a>",,,No,,,,
-86.3803,40.7432,390,,Cliff Drive Groundwater Contamination,50,INN000510272,510272,1948,5,Indiana,Logansport,Cass,NPL Site,-86.3803,40.7432,09/13/2018,05/15/2019,,0,,,"<a href=""https://semspub.epa.gov/src/document/11/199406"" target=""_blank"">INN000510272 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0510272"" target=""_blank"">Cliff Drive Groundwater Contamination</a>",,"<a href=""http://www.gpo.gov/fdsys/pkg/FR-2018-09-13/pdf/2018-19876.pdf"" target=""_blank"">09/13/2018 (PDF)</a>",,"<a href=""http://www.gpo.gov/fdsys/pkg/FR-2019-05-15/pdf/2019-09924.pdf"" target=""_blank"">05/15/2019 (PDF)</a>",,,No,,,,
-97.051669,37.051669,391,,Arkansas City Dump,0,KSD980500789,700559,820,7,Kansas,Arkansas City,Cowley,Deleted NPL Site,-97.051669,37.051669,12/30/1982,09/08/1983,09/08/1992,116,09/20/1995,03/01/1996,"<a href=""https://semspub.epa.gov/src/document/07/30296183"" target=""_blank"">KSD980500789 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0700559"" target=""_blank"">Arkansas City Dump</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1996-03-01/pdf/96-4526.pdf"" target=""_blank"">03/01/1996 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1995-09-20/pdf/95-23319.pdf"" target=""_blank"">09/20/1995 (PDF)</a>",,No,,,,
-94.8,39.033331,392,,Doepke Disposal (Holliday),47.46,KSD980632301,700631,821,7,Kansas,Johnson County,Johnson,NPL Site,-94.8,39.033331,12/30/1982,09/08/1983,09/29/1997,468,,,"<a href=""https://semspub.epa.gov/src/document/07/30296184"" target=""_blank"">KSD980632301 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0700631"" target=""_blank"">Doepke Disposal (Holliday)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>",,,No,,,,
-97.3156,37.7371,393,,Johns' Sludge Pond,35.94,KSD980631980,700602,822,7,Kansas,Wichita,Sedgwick,Deleted NPL Site,-97.3156,37.7371,12/30/1982,09/08/1983,01/31/1991,51,09/10/1991,01/06/1992,"<a href=""https://semspub.epa.gov/src/document/07/30296185"" target=""_blank"">KSD980631980 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0700602"" target=""_blank"">Johns' Sludge Pond</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/07/30296223"" target=""_blank"">01/06/1992 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/07/30296043"" target=""_blank"">09/10/1991 (PDF)</a>",,No,,,,
-94.823889,37.003889,394,,Cherokee County,58.15,KSD980741862,700667,823,7,Kansas,Cherokee County,Cherokee,NPL Site,-94.823889,37.003889,12/30/1982,09/08/1983,,0,,,"<a href=""https://semspub.epa.gov/src/document/07/30296186"" target=""_blank"">KSD980741862 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0700667"" target=""_blank"">Cherokee County</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>",,,No,,,,
-97.400831,37.726111,395,,Big River Sand Co.,32.56,KSD980686174,700663,824,7,Kansas,Wichita,Sedgwick,Deleted NPL Site,-97.400831,37.726111,10/15/1984,06/10/1986,06/28/1988,28,07/09/1992,10/14/1992,"<a href=""https://semspub.epa.gov/src/document/07/30296187"" target=""_blank"">KSD980686174 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0700663"" target=""_blank"">Big River Sand Co.</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189641"" target=""_blank"">10/15/1984 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189625"" target=""_blank"">10/14/1992 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189628"" target=""_blank"">06/10/1986 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/07/30296044"" target=""_blank"">07/09/1992 (PDF)</a>",,No,,,,
-97.031939,37.170831,396,,Strother Field Industrial Park,33.62,KSD980862726,700677,826,7,Kansas,Cowley County,Cowley,NPL Site,-97.031939,37.170831,10/15/1984,06/10/1986,10/28/2008,1061,,,"<a href=""https://semspub.epa.gov/src/document/07/30296189"" target=""_blank"">KSD980862726 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0700677"" target=""_blank"">Strother Field Industrial Park</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189641"" target=""_blank"">10/15/1984 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189628"" target=""_blank"">06/10/1986 (PDF)</a>",,,No,,,,
-97.851389,38.063889,397,,Obee Road,33.62,KSD980631766,700580,827,7,Kansas,Hutchinson,Reno,NPL Site,-97.851389,38.063889,01/22/1987,07/22/1987,09/09/2011,1105,,,"<a href=""https://semspub.epa.gov/src/document/07/30296190"" target=""_blank"">KSD980631766 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0700580"" target=""_blank"">Obee Road</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189645"" target=""_blank"">01/22/1987 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189629"" target=""_blank"">07/22/1987 (PDF)</a>",,,No,,,,
-97.3266,37.7336,398,,29th & Mead Ground Water Contamination,35.35,KSD007241656,700496,1133,7,Kansas,Wichita,Sedgwick,Deleted NPL Site,-97.3266,37.7336,06/24/1988,02/21/1990,,0,01/31/1996,04/29/1996,"<a href=""https://semspub.epa.gov/src/document/07/30296220"" target=""_blank"">KSD007241656 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0700496"" target=""_blank"">29th & Mead Ground Water Contamination</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1996-04-29/pdf/96-10537.pdf"" target=""_blank"">04/29/1996 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189635"" target=""_blank"">02/21/1990 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1996-01-31/pdf/96-1715.pdf"" target=""_blank"">01/31/1996 (PDF)</a>",,No,,,,
-95.726111,39.086939,399,,Hydro-Flex Inc.,42.79,KSD007135429,700468,1152,7,Kansas,Topeka,Shawnee,Deleted NPL Site,-95.726111,39.086939,06/24/1988,03/31/1989,06/30/1992,97,04/08/1993,11/09/1993,"<a href=""https://semspub.epa.gov/src/document/07/30296131"" target=""_blank"">KSD007135429 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0700468"" target=""_blank"">Hydro-Flex Inc.</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/07/30296236"" target=""_blank"">11/09/1993 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189631"" target=""_blank"">03/31/1989 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/07/30296045"" target=""_blank"">04/08/1993 (PDF)</a>",,No,,,,
-96.8574,37.8438,400,,Pester Refinery Co.,30.16,KSD000829846,700447,1162,7,Kansas,El Dorado,Butler,NPL Site,-96.8574,37.8438,06/24/1988,03/31/1989,09/08/1999,623,,,"<a href=""https://semspub.epa.gov/src/document/07/30296133"" target=""_blank"">KSD000829846 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0700447"" target=""_blank"">Pester Refinery Co.</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189631"" target=""_blank"">03/31/1989 (PDF)</a>",,,No,,,,
-122.0797,37.4108,401,,Teledyne Semiconductor,35.35,CAD009111444,901134,960,9,California,Mountain View,Santa Clara,NPL Site,-122.0797,37.4108,10/15/1984,07/22/1987,03/31/1992,78,,,"<a href=""https://semspub.epa.gov/src/document/09/2400266"" target=""_blank"">CAD009111444 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0901134"" target=""_blank"">Teledyne Semiconductor</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189641"" target=""_blank"">10/15/1984 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189629"" target=""_blank"">07/22/1987 (PDF)</a>",,,No,,,,
-122.0085,37.3846,402,,"TRW Microwave, Inc. (Building 825)",31.94,CAD009159088,901181,961,9,California,Sunnyvale,Santa Clara,NPL Site,-122.0085,37.3846,06/24/1988,02/21/1990,09/17/1993,203,,,"<a href=""https://semspub.epa.gov/src/document/09/2400267"" target=""_blank"">CAD009159088 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0901181"" target=""_blank"">TRW Microwave, Inc. (Building 825)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189635"" target=""_blank"">02/21/1990 (PDF)</a>",,,No,,,,
-122.0542,37.4012,403,,Fairchild Semiconductor Corp. (Mountain View Plant),31.94,CAD095989778,901680,963,9,California,Mountain View,Santa Clara,NPL Site,-122.0542,37.4012,10/15/1984,02/11/1991,08/24/1999,615,,,"<a href=""https://semspub.epa.gov/src/document/09/2400269"" target=""_blank"">CAD095989778 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0901680"" target=""_blank"">Fairchild Semiconductor Corp. (Mountain View Plant)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189641"" target=""_blank"">10/15/1984 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189623"" target=""_blank"">02/11/1991 (PDF)</a>",,,No,,,,
-121.3958,38.520281,404,,Sacramento Army Depot,44.46,CA0210020780,902715,964,9,California,Sacramento,Sacramento,NPL Site,-121.3958,38.520281,10/15/1984,07/22/1987,08/28/2002,820,,,"<a href=""https://semspub.epa.gov/src/document/09/2400270"" target=""_blank"">CA0210020780 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0902715"" target=""_blank"">Sacramento Army Depot</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189641"" target=""_blank"">10/15/1984 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189629"" target=""_blank"">07/22/1987 (PDF)</a>",,,No,,,,
-122.0566,37.3962,405,,Intel Corp. (Mountain View Plant),29.76,CAD061620217,901482,965,9,California,Mountain View,Santa Clara,NPL Site,-122.0566,37.3962,10/15/1984,06/10/1986,08/24/1999,616,,,"<a href=""https://semspub.epa.gov/src/document/09/2400271"" target=""_blank"">CAD061620217 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0901482"" target=""_blank"">Intel Corp. (Mountain View Plant)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189641"" target=""_blank"">10/15/1984 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189628"" target=""_blank"">06/10/1986 (PDF)</a>",,,No,,,,
-122.0533,37.3975,406,,Raytheon Corp.,29.76,CAD009205097,901202,966,9,California,Mountain View,Santa Clara,NPL Site,-122.0533,37.3975,10/15/1984,06/10/1986,08/24/1999,617,,,"<a href=""https://semspub.epa.gov/src/document/09/2400272"" target=""_blank"">CAD009205097 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0901202"" target=""_blank"">Raytheon Corp.</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189641"" target=""_blank"">10/15/1984 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189628"" target=""_blank"">06/10/1986 (PDF)</a>",,,No,,,,
-122.0522,37.411389,407,,Moffett Naval Air Station,29.49,CA2170090078,902734,967,9,California,Sunnyvale,Santa Clara,NPL Site,-122.0522,37.411389,04/10/1985,07/22/1987,,0,,,"<a href=""https://semspub.epa.gov/src/document/09/2400273"" target=""_blank"">CA2170090078 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0902734"" target=""_blank"">Moffett Naval Air Station</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189642"" target=""_blank"">04/10/1985 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189629"" target=""_blank"">07/22/1987 (PDF)</a>",,,No,,,,
-118.055,33.95,408,,"Waste Disposal, Inc.",34.6,CAD980884357,902140,968,9,California,Santa Fe Springs,Los Angeles,NPL Site,-118.055,33.95,06/10/1986,07/22/1987,08/12/2005,941,,,"<a href=""https://semspub.epa.gov/src/document/09/2400274"" target=""_blank"">CAD980884357 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0902140"" target=""_blank"">Waste Disposal, Inc.</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189644"" target=""_blank"">06/10/1986 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189629"" target=""_blank"">07/22/1987 (PDF)</a>",,,No,,,,
-120.9181,37.71695,409,,Riverbank Army Ammunition Plant,63.94,CA7210020759,902785,1025,9,California,Riverbank,Stanislaus,NPL Site,-120.9181,37.71695,06/24/1988,02/21/1990,09/30/1997,491,,,"<a href=""https://semspub.epa.gov/src/document/09/2400138"" target=""_blank"">CA7210020759 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0902785"" target=""_blank"">Riverbank Army Ammunition Plant</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189635"" target=""_blank"">02/21/1990 (PDF)</a>",,,No,,,,
-119.2767,36.333331,410,,Southern California Edison Co. (Visalia Poleyard),48.91,CAD980816466,902061,1026,9,California,Visalia,Tulare,Deleted NPL Site,-119.2767,36.333331,01/22/1987,03/31/1989,09/25/2001,783,07/27/2009,09/25/2009,"<a href=""https://semspub.epa.gov/src/document/09/2400139"" target=""_blank"">CAD980816466 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0902061"" target=""_blank"">Southern California Edison Co. (Visalia Poleyard)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189645"" target=""_blank"">01/22/1987 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2009-07-27/pdf/E9-17562.pdf"" target=""_blank"">09/25/2009 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189631"" target=""_blank"">03/31/1989 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2009-07-27/pdf/E9-17564.pdf"" target=""_blank"">07/27/2009 (PDF)</a>",,No,,,,
-122.029028,37.051111,411,,Watkins-Johnson Co. (Stewart Division Plant),28.9,CAD980893234,902226,1029,9,California,Scotts Valley,Santa Cruz,NPL Site,-122.029028,37.051111,01/22/1987,08/30/1990,09/22/1994,265,,,"<a href=""https://semspub.epa.gov/src/document/09/2400140"" target=""_blank"">CAD980893234 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0902226"" target=""_blank"">Watkins-Johnson Co. (Stewart Division Plant)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189645"" target=""_blank"">01/22/1987 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189637"" target=""_blank"">08/30/1990 (PDF)</a>",,,No,,,,
-119.8261,36.704169,412,,Fresno Municipal Sanitary Landfill,35.57,CAD980636914,901854,1030,9,California,Fresno,Fresno,NPL Site,-119.8261,36.704169,06/24/1988,10/04/1989,,0,,,"<a href=""https://semspub.epa.gov/src/document/09/2400141"" target=""_blank"">CAD980636914 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0901854"" target=""_blank"">Fresno Municipal Sanitary Landfill</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189633"" target=""_blank"">10/04/1989 (PDF)</a>",,,No,,,,
-116.9389,34.878331,413,,Barstow Marine Corps Logistics Base,37.93,CA8170024261,902790,1104,9,California,Barstow,San Bernardino,NPL Site,-116.9389,34.878331,07/14/1989,11/21/1989,,0,,,"<a href=""https://semspub.epa.gov/src/document/09/2400142"" target=""_blank"">CA8170024261 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0902790"" target=""_blank"">Barstow Marine Corps Logistics Base</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189650"" target=""_blank"">07/14/1989 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189634"" target=""_blank"">11/21/1989 (PDF)</a>",,,No,,,,
-122.5931,38.2332,414,,"Sola Optical USA, Inc.",33.39,CAD981171523,902280,1106,9,California,Petaluma,Sonoma,Deleted NPL Site,-122.5931,38.2332,06/24/1988,02/21/1990,08/14/1992,108,07/24/2013,10/31/2013,"<a href=""https://semspub.epa.gov/src/document/09/2400143"" target=""_blank"">CAD981171523 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0902280"" target=""_blank"">Sola Optical USA, Inc.</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2013-10-31/pdf/2013-25987.pdf"" target=""_blank"">10/31/2013 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189635"" target=""_blank"">02/21/1990 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2013-07-24/pdf/2013-17826.pdf"" target=""_blank"">07/24/2013 (PDF)</a>",,No,,,,
-122.3654,37.9226,415,,United Heckathorn Co.,38.49,CAD981436363,902440,1107,9,California,Richmond,Contra Costa,NPL Site,-122.3654,37.9226,10/26/1989,03/14/1990,,0,,,"<a href=""https://semspub.epa.gov/src/document/09/2400144"" target=""_blank"">CAD981436363 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0902440"" target=""_blank"">United Heckathorn Co.</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189651"" target=""_blank"">10/26/1989 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189636"" target=""_blank"">03/14/1990 (PDF)</a>",,,No,,,,
-118.822,35.203061,416,,"Brown & Bryant, Inc. (Arvin Plant)",53.36,CAD052384021,901425,1109,9,California,Arvin,Kern,NPL Site,-118.822,35.203061,06/24/1988,10/04/1989,,0,,,"<a href=""https://semspub.epa.gov/src/document/09/2400146"" target=""_blank"">CAD052384021 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0901425"" target=""_blank"">Brown & Bryant, Inc. (Arvin Plant)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189633"" target=""_blank"">10/04/1989 (PDF)</a>",,,No,,,,
-117.3131,34.171811,417,,Newmark Ground Water Contamination,35.57,CAD981434517,902439,1119,9,California,San Bernardino,San Bernardino,NPL Site,-117.3131,34.171811,06/24/1988,03/31/1989,,0,,,"<a href=""https://semspub.epa.gov/src/document/09/2400147"" target=""_blank"">CAD981434517 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0902439"" target=""_blank"">Newmark Ground Water Contamination</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189631"" target=""_blank"">03/31/1989 (PDF)</a>",,,No,,,,
-122.1434,37.4214,418,,Hewlett-Packard (620-640 Page Mill Road),29.76,CAD980884209,902134,1124,9,California,Palo Alto,Santa Clara,NPL Site,-122.1434,37.4214,06/24/1988,02/21/1990,09/16/1997,495,,,"<a href=""https://semspub.epa.gov/src/document/09/2400149"" target=""_blank"">CAD980884209 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0902134"" target=""_blank"">Hewlett-Packard (620-640 Page Mill Road)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189635"" target=""_blank"">02/21/1990 (PDF)</a>",,,No,,,,
